x1,x2,label
0.808,3.537,0
6.556,7.26,1
5.829,5.497,1
1.547,1.679,0
5.003,5.442,1
7.65,6.034,1
6.734,5.603,1
0.785,3.384,0
3.127,1.775,0
5.086,5.326,1
5.531,4.831,1
5.514,4.773,1
6.262,6.323,1
1.367,-0.6,0
4.481,6.44,1
2.761,1.645,0
5.242,6.92,1
2.908,2.016,0
1.532,2.944,0
2.455,0.099,0
2.134,2.176,0
1.274,1.079,0
6.474,4.84,1
5.274,6.297,1
1.631,2.605,0
5.426,2.74,1
7.95,7.172,1
6.015,4.742,1
2.223,1.528,0
1.261,2.322,0
4.083,7.441,1
2.126,2.36,0
5.237,6.369,1
2.158,3.088,0
0.893,1.311,0
5.851,5.642,1
6.846,6.336,1
2.438,1.945,0
2.992,1.935,0
7.12,5.36,1
6.606,7.231,1
1.881,3.054,0
1.303,2.689,0
5.733,4.312,1
5.948,6.927,1
5.363,5.427,1
0.493,1.791,0
3.165,0.187,0
6.579,5.064,1
2.204,3.175,0
3.269,1.642,0
1.453,0.483,0
2.548,2.047,0
5.215,2.904,1
2.198,0.539,0
2.82,1.949,0
6.051,5.497,1
3.76,3.017,0
6.095,7.103,1
5.879,5.612,1
6.47,5.609,1
1.842,1.166,0
5.334,5.372,1
2.367,1.318,0
0.787,1.431,0
6.393,6.27,1
-0.839,1.639,0
3.671,0.694,0
6.267,5.66,1
1.814,1.636,0
0.42,2.995,0
0.81,0.285,0
6.466,5.582,1
0.419,1.843,0
2.345,3.02,0
8.478,6.419,1
4.396,5.171,1
2.309,2.726,0
1.618,3.188,0
1.842,1.581,0
7.34,5.581,1
6.02,4.267,1
5.877,6.312,1
2.77,2.599,0
4.362,7.062,1
2.498,1.412,0
5.312,6.946,1
6.594,6.522,1
0.816,2.62,0
4.443,5.118,1
1.549,2.27,0
7.056,5.748,1
6.754,5.936,1
2.563,2.876,0
6.681,6.155,1
2.657,2.029,0
3.026,3.54,0
2.347,1.635,0
7.099,7.305,1
6.896,7.115,1
2.816,0.557,0
3.556,1.226,0
5.529,5.01,1
6.796,3.783,1
2.292,1.463,0
2.667,2.368,0
1.566,1.112,0
2.53,2.525,0
5.055,5.967,1
5.072,5.948,1
5.374,5.658,1
6.549,6.82,1
6.492,5.25,1
3.902,6.589,1
2.332,1.133,0
7.703,4.594,1
3.003,1.561,0
3.023,0.029,0
5.292,5.727,1
1.9,2.261,0
1.661,3.345,0
1.988,0.732,0
4.987,6.156,1
4.105,7.335,1
7.268,7.28,1
1.501,2.527,0
5.771,5.121,1
0.72,3.018,0
5.712,5.126,1
2.533,2.835,0
1.596,3.856,0
6.406,6.043,1
2.598,2.205,0
5.797,4.411,1
2.241,1.653,0
2.383,2.062,0
6.365,4.509,1
5.408,5.434,1
5.928,7.069,1
2.288,1.196,0
5.506,6.336,1
7.95,6.325,1
3.33,2.537,0
1.087,1.695,0
7.008,6.222,1
6.822,6.069,1
7.029,6.615,1
6.99,6.716,1
6.185,6.547,1
5.691,6.842,1
2.882,2.59,0
2.514,2.122,0
1.313,2.017,0
3.889,1.258,0
1.07,1.433,0
2.295,1.839,0
5.576,4.621,1
7.411,6.401,1
1.123,1.862,0
7.144,6.817,1
2.146,1.979,0
6.089,7.37,1
1.068,4.07,0
5.609,3.828,1
7.786,5.36,1
2.815,1.708,0
1.546,1.475,0
4.361,5.394,1
5.858,5.102,1
6.292,5.745,1
6.309,5.078,1
1.156,4.465,0
0.578,2.758,0
6.333,5.491,1
6.213,6.522,1
6.605,5.665,1
1.531,2.483,0
1.324,1.352,0
3.083,2.661,0
0.33,2.496,0
6.947,5.381,1
1.758,1.498,0
1.21,1.836,0
5.143,7.54,1
0.92,1.898,0
7.13,4.663,1
3.109,0.874,0
1.915,0.803,0
6.43,5.57,1
0.4,1.037,0
5.314,5.953,1
1.385,2.904,0
2.203,3.562,0
6.271,6.654,1
6.335,6.083,1
4.788,5.177,1
5.496,3.984,1
3.147,0.828,0
1.19,2.446,0
7.312,5.721,1
3.923,6.698,1
7.029,5.423,1
3.091,-0.606,0
3.407,2.133,0
1.574,3.049,0
2.518,3.34,0
1.896,2.779,0
6.308,7.222,1
1.675,-0.074,0
7.277,6.019,1
2.358,-0.03,0
5.784,7.137,1
1.923,1.211,0
3.663,2.738,0
5.919,6.204,1
5.591,5.356,1
6.147,5.608,1
1.33,1.527,0
5.018,5.689,1
4.542,5.083,1
4.739,7.133,1
1.704,1.307,0
5.603,5.021,1
1.743,1.589,0
1.422,0.569,0
6.314,6.075,1
1.845,0.761,0
6.743,6.585,1
1.74,2.172,0
3.199,1.997,0
3.375,0.701,0
5.881,6.414,1
3.997,6.903,1
6.249,6.436,1
8.973,7.824,1
-0.849,2.775,0
2.696,1.638,0
2.762,1.378,0
1.695,1.152,0
5.998,5.674,1
6.14,6.466,1
2.466,2.356,0
4.554,7.016,1
7.531,4.343,1
4.667,5.143,1
3.438,3.368,0
4.424,7.255,1
1.678,2.417,0
3.443,0.666,0
1.761,1.01,0
4.687,6.787,1
2.432,0.006,0
6.565,4.064,1
7.542,5.056,1
4.563,6.149,1
5.308,5.453,1
7.46,6.739,1
1.339,1.187,0
2.277,1.716,0
5.749,6.454,1
0.652,1.265,0
6.35,5.708,1
1.37,0.465,0
5.521,6.916,1
1.544,3.035,0
5.999,4.802,1
2.078,2.28,0
6.348,5.634,1
5.367,5.78,1
1.212,1.748,0
3.247,3.296,0
6.436,6.056,1
3.93,2.93,0
4.91,1.987,0
1.449,1.345,0
6.628,6.895,1
7.448,6.187,1
5.917,4.462,1
5.552,5.895,1
5.45,5.497,1
1.801,2.911,0
4.102,6.702,1
0.866,3.069,0
6.588,5.514,1
1.619,1.255,0
1.649,3.416,0
2.69,1.55,0
6.689,5.565,1
5.844,5.091,1
5.882,6.967,1
2.08,3.005,0
1.354,2.205,0
1.514,2.302,0
7.995,7.845,1
2.728,2.307,0
5.324,6.182,1
7.017,4.984,1
0.778,1.755,0
0.867,2.074,0
1.763,1.656,0
5.89,6.653,1
6.029,6.053,1
5.885,8.442,1
6.674,6.347,1
3.448,2.679,0
5.749,4.773,1
5.396,4.962,1
3.591,0.803,0
5.595,7.087,1
1.294,-0.42,0
7.838,5.45,1
2.801,1.191,0
5.649,5.463,1
6.586,7.273,1
7.003,6.067,1
2.535,2.127,0
2.34,-0.057,0
2.129,1.489,0
2.006,3.133,0
0.948,3.094,0
6.829,6.702,1
6.222,5.767,1
2.318,3.848,0
5.199,6.616,1
6.326,6.076,1
6.723,8.488,1
1.372,2.981,0
6.16,7.441,1
1.842,2.824,0
6.648,6.152,1
1.424,2.958,0
1.411,2.926,0
7.262,5.355,1
7.527,7.704,1
7.198,5.404,1
2.853,2.334,0
5.528,5.572,1
1.828,1.943,0
5.86,4.784,1
2.946,2.833,0
3.88,1.05,0
2.792,2.52,0
4.057,2.572,0
2.074,2.844,0
5.475,6.516,1
1.955,2.166,0
0.878,1.805,0
6.554,5.885,1
2.548,0.6,0
0.837,2.14,0
6.071,6.912,1
2.388,1.495,0
3.457,0.775,0
7.976,4.123,1
7.716,4.998,1
5.748,6.175,1
4.325,5.626,1
1.912,2.342,0
6.842,6.809,1
5.467,5.127,1
1.438,2.95,0
1.8,3.136,0
0.304,1.608,0
6.14,4.261,1
6.579,6.231,1
2.555,0.446,0
2.148,0.852,0
